排名,标题,分数,播放量,Up主,Up ID,URL
1,骁话一下：为什么中日韩一谈合作，钓鱼岛就出事儿？,4740697,292.9万,观察者网,10330740,https://www.bilibili.com/video/BV1R5411W7Re
2,靠谱盘点86:先就到这里吧！我们下期再见！,4027878,196.6万,靠谱电竞,279991456,https://www.bilibili.com/video/BV1Tf4y117Go
3,耗时..... 算了，白嫖吧!,2724253,155.2万,果冻lui,452941348,https://www.bilibili.com/video/BV1HZ4y1H7Sy
4,我 摸到了！,2420178,188.9万,中国BOY超级大猩猩,562197,https://www.bilibili.com/video/BV1mz4y1Q7FF
5,妈，你听我解释……【阅片无数52】,1896760,293.3万,凉风Kaze,14110780,https://www.bilibili.com/video/BV1ZK411p7LX
6,【戴建业】同学们我来B站了！今后一起聊聊诗词吧！,1889435,96.5万,戴建业老师,532741557,https://www.bilibili.com/video/BV1KT4y1J7Gj
7,【朱一旦】199 过去的不会只是成为过去,1697339,191.7万,朱一旦的枯燥生活,437316738,https://www.bilibili.com/video/BV1oK411p78Z
8,纯黑《最后生还者2》第一期 最高难度迅猛式攻略解说 严重剧透警告,1668300,91.2万,-纯黑-,585267,https://www.bilibili.com/video/BV1zf4y1y7aZ
9,为啥费玉清《一剪梅》突然欧美爆火？不懂雪花飘飘梗会被嘲笑！,1663370,281.0万,成都见识新媒体官方号,526178615,https://www.bilibili.com/video/BV1yD4y1D74h
10,妈妈去世后，就再也没有吃过了…,1553928,95.5万,浩宇在路上,480366389,https://www.bilibili.com/video/BV18T4y1J7Jn
11,每天一遍，北大相见,1552549,88.1万,碧天蓝钻,7275647,https://www.bilibili.com/video/BV1cp4y1Q7yn
12,B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,1533931,25.2万,清云Pro,383336986,https://www.bilibili.com/video/BV1UC4y1a79h
13,【官方MV】Mojito - 周杰伦,1434869,136.5万,大家的音乐姬,32708543,https://www.bilibili.com/video/BV1PK4y1b7dt
14,当了4年UP主，我结婚了！,1224801,88.9万,狂阿弥_,3433092,https://www.bilibili.com/video/BV1xT4y1J78v
15,严 峻 的 惩 罚 ！,1219227,118.0万,LexBurner,777536,https://www.bilibili.com/video/BV1if4y1y7Tk
16,整 合 把 妹 王,1201504,56.7万,元素领主墨元素,22157527,https://www.bilibili.com/video/BV19D4y1D7YP
17,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,1198836,18.2万,懒癌学渣,593470050,https://www.bilibili.com/video/BV1n54y1B7bE
18,B站up主水视频现状,1161412,105.2万,小缸和阿灿,37961599,https://www.bilibili.com/video/BV1YZ4y1H7RW
19,眼“色”游戏 （1）,1158760,177.2万,小潮院长,5970160,https://www.bilibili.com/video/BV1Wi4y1G7fQ
20,如何拒绝别人,1097815,70.3万,小透明阿九,10897973,https://www.bilibili.com/video/BV18Z4y1W7Au
21,最 强 法 海,1085710,68.6万,推背兔の,96070394,https://www.bilibili.com/video/BV1pi4y147tQ
22,不好意思，这次我必在热门！,1080246,41.5万,盼盼罚吃小面包,420689937,https://www.bilibili.com/video/BV1tp4y1D7zU
23,Kurt最新中文作品 | 五月天《干杯》,1077751,37.3万,音乐制作人Kurt,596324576,https://www.bilibili.com/video/BV1dV411r7gL
24,《樱  桃  老  丸  子》,1063144,58.9万,绝对不再熬夜,576534137,https://www.bilibili.com/video/BV1dz4y197zd
25,LOL手游：国人试玩2K画质！第一MOBA手游？18杀男枪完美还原端游！英雄联盟手游！,1052249,107.5万,林小北Lindo,18343134,https://www.bilibili.com/video/BV1XC4y1a79V
26,阅读全文并背诵,1024937,107.1万,大霓奈,7560829,https://www.bilibili.com/video/BV1MD4y1Q7oU
27,【醒醒】中华儿女该起床了,1019242,28.7万,冈部伦太郎·,2331173,https://www.bilibili.com/video/BV1m54y1Q7eQ
28,当代年轻人现状,999210,82.0万,某幻君,1577804,https://www.bilibili.com/video/BV145411W71i
29,番茄带你地牢探险！,995408,157.6万,老番茄,546195,https://www.bilibili.com/video/BV1MD4y1Q7yU
30,【2020毕业季 | 动画毕设作品】绝美毕设！广州美术学院视觉艺术设计学院动画《落凡尘》【授权投稿】,984490,32.0万,wuhu动画人空间,59550906,https://www.bilibili.com/video/BV1si4y1x776
31,你的印卡货真价实【水无月菌】,961191,73.4万,水无月菌,1958342,https://www.bilibili.com/video/BV1Fv411B7Ld
32,【大威天龙】腚 力 练 习 僧,957402,66.1万,西天盧来,487387788,https://www.bilibili.com/video/BV1Bg4y1q7Nt
