排名,标题,分数,播放量,Up主,Up ID,URL
1,“假如我年少有为 不自卑”,6717864,535.8万,囧墙先生,178135921,https://www.bilibili.com/video/av92901768
2,骁话一下：给《外国人永久居留管理条例》提意见,4048467,172.9万,观察者网,10330740,https://www.bilibili.com/video/av93717457
3,前方高甜！我居然看了几百遍！？,3945809,218.5万,银发の半精灵,5687194,https://www.bilibili.com/video/av92538024
4,【227事件】心火不熄，创作不死,3300722,133.5万,顾清文,96108160,https://www.bilibili.com/video/av93058845
5,好 哥 哥,3163523,217.3万,花少北丶,2206456,https://www.bilibili.com/video/av93533259
6,穷  举  报,3152423,217.1万,咕哒兰,21448599,https://www.bilibili.com/video/av93199515
7,霸权续作集结！2020年4月新番导视！,2838776,198.9万,LexBurner,777536,https://www.bilibili.com/video/av93796227
8,【肖战】处处封—肖战必糊！,2825056,170.3万,龙之王修罗,97240074,https://www.bilibili.com/video/av93267927
9,肖战：我到底造了什么孽，有这样的粉丝,2597207,460.7万,长华楚楚,69646931,https://www.bilibili.com/video/av93048245
10,你 封 起 来 真 好 心,2582683,184.6万,因你而在的梦,38640369,https://www.bilibili.com/video/av93060355
11,【半佛】肖战事件谁是大赢家？,2479030,309.5万,硬核的半佛仙人,37663924,https://www.bilibili.com/video/av93418555
12,偶像失声？三观超正黄子韬教你做人,2300815,118.5万,甜酒玖九九,25541929,https://www.bilibili.com/video/av93395715
13,转发给女朋友，一起选情头！,2167505,96.0万,战场ヶ原様,32172331,https://www.bilibili.com/video/av92135544
14,❓  ❓  ❓ 【阅片无数37】,2151057,254.5万,凉风Kaze,14110780,https://www.bilibili.com/video/av93605411
15,肖战粉丝举报b站？个别粉丝为何如此疯狂？,2073782,244.8万,不正经老丝,378885845,https://www.bilibili.com/video/av93186614
16,100斤土豆可以做出多少土豆淀粉？毅力小伙花了整整五天才做完,2059666,102.9万,记录生活的蛋黄派,337521240,https://www.bilibili.com/video/av93879496
17,【师 生 对 线】这网课上得就尼玛离谱！（第二集）,1858808,153.6万,鹤吱菌,3353026,https://www.bilibili.com/video/av92531906
18,“每日一遍 防止早恋”,1835029,168.5万,记得多微笑,402230040,https://www.bilibili.com/video/av92341698
19,花400元让虚拟男友连麦虚拟女友，车速失控！？,1762418,139.3万,糖窝瓜,439021394,https://www.bilibili.com/video/av92827361
20,云顶之弈S3：大战国外主播与总设计师！中国玩家拿下S3全球第一鸡！,1725338,69.7万,林小北Lindo,18343134,https://www.bilibili.com/video/av93553905
21,【学英语】北大学姐的高效背单词法！不看亏大了！1小时竟能背100多个？,1715903,45.5万,晴儿Patricia,39298350,https://www.bilibili.com/video/av91995768
22,故事要从几包吸水弹说起。。。,1707473,220.0万,天花板上吊着猫,1091,https://www.bilibili.com/video/av93040572
23,耗时5天！我再次把史上最难的“自闭”游戏通关了！#2,1612200,63.6万,东尼ookii,285499073,https://www.bilibili.com/video/av93812324
24,卢 本 伟 后来怎么样了？锤他的人呢？那些被外挂改变的人生【旧闻录#01】,1570769,168.2万,MindGames猫古斯,360739161,https://www.bilibili.com/video/av93219437
25,227创作者活该？！ao3活该被墙？lof活该被刷？粮仓活该爆炸？扑街写手有话好好说,1552452,81.3万,犄角啊犄角,442263318,https://www.bilibili.com/video/av93382774
26,见识下什么叫TMD出轨！,1532994,128.3万,Reiji-白龙,318223,https://www.bilibili.com/video/av93471282
27,赌 怪（完整版）,1532207,59.1万,刘泽秀V,21951780,https://www.bilibili.com/video/av89058944
28,"小伙花36小时终于拼出“彩色地狱拼图”,整个人都傻了",1498722,172.5万,贤宝宝Baby,3957971,https://www.bilibili.com/video/av93417845
29,【Minecraft】用现代军队去解放村庄是什么感觉,1483010,74.2万,北纬的星空,66185855,https://www.bilibili.com/video/av93047127
30,奇葩小伙买回所有饮料混合！这几十种饮料哪种最好喝呢？,1476422,226.2万,敬汉卿,9824766,https://www.bilibili.com/video/av93436487
31,这个up膨胀了，居然敢挑战令人闻风丧胆的宝塔肉！,1423654,151.0万,大碗拿铁,393166851,https://www.bilibili.com/video/av92864898
32,肖战粉丝举报Ao3始末，现在饭圈有多可怕！,1422601,143.6万,蛋蛋秀,20823871,https://www.bilibili.com/video/av93227148
33,10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,1404837,66.0万,周六野Zoey,62540916,https://www.bilibili.com/video/av34107674
34,用复联四告诉你肖战粉227事件都干了些什么,1396655,60.2万,无尽の零,305214791,https://www.bilibili.com/video/av93692239
35,肖战227事件背后：饭圈怎样摧毁了文化产业？,1393974,74.8万,IC实验室,486287787,https://www.bilibili.com/video/av93556481
36,【填词】笔者已逝（你肯定不会知道最初喜欢的那个笔者早已经去世）,1383315,37.0万,瞳荧荧,4386639,https://www.bilibili.com/video/av92910046
37,花22元买到精神污染游戏 玩了一会儿发现是宇宙物理学神作,1379655,95.2万,敖厂长,122879,https://www.bilibili.com/video/av93911895
38,“我们本能忍受黑暗，如果不曾见光”,1367541,48.1万,飞雪の祈り,14744557,https://www.bilibili.com/video/av93189698
39,入坑假面骑士不知道看哪个？这个视频帮你解决所有问题！,1366968,70.9万,瓶子君152,730732,https://www.bilibili.com/video/av93589494
40,这个日式恐怖游戏把我纸尿裤都吓飞了！对便利店都要有阴影了,1322360,123.9万,中国BOY超级大猩猩,562197,https://www.bilibili.com/video/av93418049
41,我反对祖安风气 你们可以骂我了,1308691,117.4万,零明,3154865,https://www.bilibili.com/video/av92390439
42,【肖战】饭圈止水,1288053,76.7万,不吃花生的夏洛克,415265429,https://www.bilibili.com/video/av93288363
43,三分钟了解肖战毒唯事件始末,1276750,128.8万,拿Mic的阿瑞斯,1640888,https://www.bilibili.com/video/av93261118
44,背着老板蹦个迪~Thumbs up！放松一下【莓可】,1273723,104.3万,莓可-w-,5028996,https://www.bilibili.com/video/av93106057
45,节选自《 口 技 》,1248408,48.1万,天秀宝宝abc,416824740,https://www.bilibili.com/video/av92499885
46,这波爆炸屁什么水平？,1238587,134.9万,卧龙寺,258457966,https://www.bilibili.com/video/av92978247
47,肖战227事件完整始末，这波能洗白么？你们会原谅他吗？,1227619,122.6万,新月冰冰,3295,https://www.bilibili.com/video/av93556301
48,【明日方舟】博士的日常（同人动画）（作者：Xooku）,1217335,45.7万,屏幕另一边的迷云,289334440,https://www.bilibili.com/video/av93133625
